Name,Sold,Amount,Profit,Id
Mixed Bean Chili Mix - PLAIN (23 lb. Bulk Box),19,3254.93,1574.95,95096
"Textured Soy Protein (Non-GMO, Unflavored) (2 oz)",19,67.64,56.62,22080
Beefish Stew Mix - PLAIN (10.5 oz),18,353.1,243.12,95022
"Dried Potatoes, Diced (40 lbs)",18,4913.53,2382.03,10038
Freeze Dried Pineapple Powder & Bits (4 Cups),18,450,-127.08,50171-2
Freeze Dried Strawberries (15 Lb. Wholesale Box),18,10016.24,2513.84,50108
Split Peas (22 oz),18,287.1,165.24,12022
Beef Style Bits (Unflavored) (2.5 oz),17,60.52,48.96,21010
Beef Style Bits (Unflavored) (40 oz),17,452.33,283.35,21014
Dried Celery (10 lbs),17,2623.18,1427.4,10026
Dried Jalapeno Dices (8 lbs),17,2543.15,1393.61,10166
Dried Sweet Potatoes (25 lbs),17,3926.01,1842.83,10226
Navy Bean Soup Mix - PLAIN (15 oz),17,335.16,227.21,95052
Black Bean Chili Mix - PLAIN (23 lb. Bulk Box),16,2836.01,1300.97,95086
Chorizo Flavored Crumbles (60 oz),16,716.85,390.77,22104
Dried Broccoli Flowerets (30 lbs),16,6295.36,2319.36,10098
Northern Bean Stew Mix - PLAIN (4 oz),16,79.2,62.08,95061
Beefish Quinoa with Mushrooms (4.65 oz),15,119.25,84.13,94040
Italian Vegetable Soup Mix - PLAIN (3.5 oz),15,74.25,56.55,95101
Royal Trumpet Mushrooms (1.5 oz.),15,299.25,199.5,11042
Sea Salt (10 oz),15,87.47,64.52,30020
"Bean & Legume Family Pack (8 Varieties, Gallon Size)",14,4175.3,2041.7,19022
Black Bean Flakes (18 lbs),14,2197.11,1353.61,12006
Chicken Style Bits (Unflavored) (44 oz),14,372.04,231.9,21024
Custom Blend,14,2590,2590,7998
Lentil Soup Mix - PLAIN (25 lb. Bulk Box),14,2432.92,1045.42,95046
Potato Starch (5 lbs),14,779.33,502.55,30034
Beef Style Chunks (Unflavored) (2.5 oz),13,46.67,37.7,21030
Chicken Style Bits (Unflavored) (30 lbs.),13,1462.12,567.72,21028
Dried Corn (20 lbs),13,3228.6,1677.18,10106
Lentil Soup Mix - PLAIN (4 oz),13,64.35,49.79,95041
Split Peas (5 lbs),13,545.63,279.24,12024
Beef Flavored Bits (25 lbs),12,2099.52,977.52,22018
Beef Style Chunks (Unflavored) (12 lbs.),12,1033.51,597.79,21036
Black Bean Chili Mix - PLAIN (3.75 oz),12,59.4,46.32,95081
Chickenish Soup Mix - PLAIN (20 lb. Bulk Box),12,1926.18,922.38,95016
Dried Broccoli Flowerets (12 lbs),12,2483.46,1257.78,10096
Dried Spinach Flakes (20 lbs),12,3344.37,1412.37,10148
Nutritional Yeast Flakes (10 oz),12,323.4,231.24,32002
Organic Dried Spinach Flakes (20 lbs),12,5692.2,2803.56,70148
Textured Soy Protein (Unflavored) (2.5 oz.),12,42.72,35.64,21080
Chicken Style Chunks (Unflavored) (30 lbs.),11,1622.56,562.16,21068
"Dried Mushrooms, Bits & Pieces (20 lbs)",11,5202.76,1766.36,10188
Freeze Dried Banana Slices (20 Lb. Wholesale Box),11,3859.54,979.74,50148
Corn Chowder Mix - PLAIN (14 lb. Bulk Box),10,1613.79,684.48,95116
Pinto Bean Flakes (18 lbs),10,1592.09,985.99,12206
"Textured Soy Protein (Non-GMO, Unflavored) (15 lbs)",10,746.6,352,22086
Textured Soy Protein (Unflavored) (30 lb),10,1142.6,502.6,21088
"Unflavored Plant-Based Protein Pantry Stuffer (6 Varieties, Quart Size)",10,629.6,334,29032
"Vegetable Family Pack (16 Varieties, Gallon Size)",10,5620.33,2656.83,19017
Corn Chowder Mix - PLAIN (2.5 oz),9,44.55,33.57,95111
CrockPot 2 Qt. Slow Cooker,9,224.55,116.55,96000
"Dried Zucchini, Diced (10 lbs)",9,1461.57,809.61,10266
Northern Bean Stew Mix - PLAIN (16 oz),9,179.55,121.95,95062
Sausage Flavored Crumbles (25 lbs),9,1608.84,837.09,22078
"Unflavored Plant-Based Protein Family Pack (6 Varieties, Gallon Size)",9,1426.68,873,29034
Beefish Soup Mix with Mushrooms - PLAIN (3.75 oz),8,39.6,29.6,95071
Chicken Style Bits (Unflavored) (12 oz),8,93.28,65.28,21022
Chicken Style Chunks (Unflavored) (15 lbs),8,773.68,371.76,21066
Freeze Dried Blueberry Powder & Bits (4 Cups),8,200,-116.48,50181-2
Freeze Dried Raspberry Powder & Bits (4 Cups),8,200,-37.44,50191-2
Gourmet Maitake Mushroom Powder & Bits (4 Cups),8,159.6,106.4,11012-2
Vegetable Chili Mix - PLAIN (20 lb. Bulk Box),8,1396.41,679.13,95126
Dried Shallots (12 lbs),7,1311.67,679.08,10246
Non-Kosher Freeze-Dried Green Peas (22 lb),7,1290.99,372.66,60188N
Oyster Mushroom Powder & Bits (4 Cups),7,139.65,99.96,11032-2
Split Pea Soup Mix - PLAIN (30 lb. Bulk Box),7,1223.66,558.31,95036
Dried Red Cabbage (9 lbs),6,839.7,464.7,10326
Organic Dried Green Bell Peppers (20 lbs),6,2383.7,1231.7,70318
Potato Starch (24 oz),6,149.7,106.68,30032
Royal Trumpet Mushroom Powder & Bits (4 Cups),6,119.7,79.8,11042-2
Vegetable Chili Mix - PLAIN (3.75 oz),6,29.7,23.4,95121
Bacon Flavored Bits (25 lbs),5,807.8,373.05,22058
Beef Style Bits (Unflavored) (30 lbs.),5,580.3,239.3,21018
Beefish Stew Mix - PLAIN (18 lb. Bulk Box),5,899.75,471.6,95026
Beefish Stew Mix - PLAIN (3 oz),5,24.75,19.6,95021
Chicken Style Flakes (Unflavored) (12 oz),5,64.31,42.36,21072
Chickenish Seasoning (3 lb.),5,545.35,368,96012
Dried Leeks (14 lbs),5,919.77,387.77,10178
Dried Leeks (5 lbs),5,479.76,319.71,10176
Dried Sweet Peas (25 lbs),5,1385.79,659.34,10066
"Dried Zucchini, Diced (20 lbs)",5,1343.76,678.76,10268
Freeze Dried Blueberries (25 Lb. Wholesale Box),5,4004.79,1004.79,50188
Freeze Dried Peach Dices (20 lb. Wholesale Box),5,3212.28,838.93,50288
Freeze Dried Super Sweet Corn (19 lb),5,1659.77,694.83,60128
Organic Dried Tomato Flakes (25 lbs),5,1964.01,844.56,70338
Beef Style Bits (Unflavored) (10 oz.),4,46.64,32.72,21012
Chicken Style Flakes (Unflavored) (48 oz),4,142.4,81.96,21074
Dried Chives (10 lbs),4,891.82,387.82,10238
"Dried Mushrooms, Bits & Pieces (7 lbs)",4,849.83,403.03,10186
Freeze Dried Apple Powder & Bits (4 Cups),4,107.76,36.72,50121-2
Freeze Dried Papaya Powder & Bits (4 Cups),4,100,25.24,50241-2
Gift Certificate,4,425,425,1876
Organic Dried Carrots (40 lbs),4,1919.8,952.84,70018
Organic Dried Onions (35 lbs),4,1719.8,813,70088
Organic Freeze-Dried Raspberries (20 Lb. Wholesale Box),4,5199.8,2331.8,70198
Split Peas (35 lbs),4,797.82,348.31,12026
Taco Flavored Bits (25 lbs),4,799.8,473.8,20058
Beef Style Pieces (Unflavored) (2.5 oz.),3,6.72,4.95,21090
Beef Style Pieces (Unflavored) (30 lbs.),3,337.38,145.38,21098
Beefish Seasoning (3 lb.),3,307.86,201.45,96032
Chili Boost Seasoning (3 lb.),3,329.85,297.54,96072
"Dried Red Bell Peppers, OG (30 lbs)",3,1739.85,860.1,70308
Dried Red Cabbage (25 lb),3,721.87,217.87,10328
Freeze Dried Banana Powder & Bits (4 Cups),3,75,34.62,50141-2
Freeze Dried Mango Dices (25 Lb. Wholesale Box),3,2419.87,631.87,50168
Freeze Dried Pineapple Dices (20 Lb. Wholesale Box),3,2116.86,652.26,51178
Organic Dried Kale Flakes (20 lbs.),3,1439.85,723.81,70328
Organic Dried Pumpkin Dices (50 lbs),3,2099.85,937.05,70038
