ï»¿(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0BR68TPDX,B0BR68TPDX,SHEEPDOG MICROPHONES Heavy Duty Speaker Mic for Tait TP8100 TP9300 TP9400 Series Radios,186,14,0.15%,0.38%,257,14,0.15%,0.29%,99.13%,100.00%,8,2,4.30%,14.29%,$624.00,$156.00,7,1
B0BTRQ5W8H,B0BTRQ5W8H,"SHEEPDOG MICROPHONES Alpha Quick Disconnect Police Microphone Earpiece, Compatible with Motorola XTS5000 XTS3000 XTS2500 Radios",77,4,0.06%,0.11%,125,6,0.07%,0.12%,100.00%,100.00%,9,0,11.69%,0.00%,$765.00,$0.00,7,0
B0BTRTRH3J,B0BTRTRH3J,"SHEEPDOG MICROPHONES Alpha Quick Disconnect Police Microphone, Compatible with Harris XG15 XG25 XG75 XL45P XL95P Radios",127,2,0.10%,0.05%,174,4,0.10%,0.08%,97.47%,100.00%,7,0,5.51%,0.00%,$595.00,$0.00,7,0
B07J5WHX5F,B07J5WHX5F,Pryme LMC-1EH42 Ear Hook Earpiece and Mic Headset for Vertex Standard EVX-S24 Two Way Radios,32,2,0.02%,0.05%,47,4,0.03%,0.08%,92.11%,100.00%,11,5,34.38%,250.00%,$275.00,$125.00,6,2
B07XYDN9H1,B07XYDN9H1,Maxon TecNet MA-4472 Microphone Replacement Cord,42,0,0.03%,0.00%,65,0,0.04%,0.00%,81.03%,0.00%,7,3,16.67%,0.00%,$140.00,$60.00,6,2
B08Z7CH6V2,B08Z7CH6V2,"Pryme LMC-1GH03 Pro-Grade 1-Wire Swivel Earpiece Headset with Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D",31,5,0.02%,0.14%,46,5,0.03%,0.10%,90.91%,100.00%,34,1,109.68%,20.00%,$850.00,$25.00,6,1
B00QH40IX2,B00QH40IX2,Tactical Ear EP523 Quick Release Adapter Motorola HT1000 MTX MT2000 MTS2000 XTS1500 XTS3000 XTS2500 XTS5000 JT1000,100,2,0.08%,0.05%,130,2,0.08%,0.04%,100.00%,100.00%,7,0,7.00%,0.00%,$280.00,$0.00,5,0
B07XLDF7HR,B07XLDF7HR,Maxon TSA-0400 Single Unit Desktop Charger for TSD-4416 Two Way Radios,39,6,0.03%,0.16%,74,8,0.04%,0.17%,92.73%,100.00%,5,2,12.82%,33.33%,$225.00,$90.00,5,2
B08SQ3YZBM,B08SQ3YZBM,"SHEEPDOG MICROPHONES SD27-HA3 Police Remote Shoulder Speaker Microphone, Compatible with Harris XG-15 XG-15P XG-25 XG-25P XG-75 XG-75P XG-75Pe P5300 P5400 P5500 and P7300 Two Way Radios",71,2,0.06%,0.05%,97,3,0.06%,0.06%,96.67%,100.00%,6,0,8.45%,0.00%,$674.40,$0.00,5,0
B09BT73TN2,B09BT73TN2,"Klein Electronics Patriot Braided Cable 2-Wire Earpiece and Mic, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",28,4,0.02%,0.11%,39,5,0.02%,0.10%,100.00%,100.00%,5,0,17.86%,0.00%,$354.75,$0.00,5,0
B0BR6774F5,B0BR6774F5,SHEEPDOG MICROPHONES Noise-Cancelling QD Mic for Kenwood NX and TK Multi-Pin Radios,250,6,0.20%,0.16%,318,7,0.19%,0.15%,99.66%,100.00%,5,0,2.00%,0.00%,$600.00,$0.00,5,0
B0BW16T6Q1,B0BW16T6Q1,"SHEEPDOG MICROPHONES 2-Wire Police Surveillance PTT Microphone, Compatible with Kenwood 2-Pin Radios (3.5F+2W-K)",95,7,0.07%,0.19%,151,10,0.09%,0.21%,100.00%,100.00%,10,6,10.53%,85.71%,$549.90,$329.94,5,1
B0CQTVP45Z,B0CQTVP45Z,"Sheepdog Sierra Speaker Microphone, Quick Disconnect (QD), Compatible with Kenwood NX, TK and Viking Multi-Pin",86,3,0.07%,0.08%,106,4,0.06%,0.08%,99.05%,100.00%,5,1,5.81%,33.33%,$456.00,$88.00,5,1
B0CVC62TY4,B0CVC62TY4,"SHEEPDOG MICROPHONES Covert Police Listen Only Earpiece, 22 Inch Black Cable, 3.5mm Connector, Ultra-Thin Wire, Removable Retainer Ear Hook and (Pack of 3) Clear Situational Awareness Eartips",413,9,0.32%,0.25%,540,14,0.32%,0.29%,98.72%,100.00%,5,0,1.21%,0.00%,$450.00,$0.00,5,0
B011AJQWAG,B011AJQWAG,PRYMEÂ® EH-1013X 30 3.5mm Threaded Acoustic Tube Listen Only Earpiece with Straight Cord,44,3,0.03%,0.08%,53,5,0.03%,0.10%,70.83%,100.00%,4,0,9.09%,0.00%,$95.00,$0.00,4,0
B018UWXD6M,B018UWXD6M,Impact K1-S1W-AT3 Wired Black In-Ear Acoustic Tube Earpiece for Kenwood Two-Way Radios,37,6,0.03%,0.16%,48,8,0.03%,0.17%,92.86%,100.00%,8,6,21.62%,100.00%,$223.60,$167.70,4,2
B01BIDBSV2,B01BIDBSV2,Impact 1-Wire Over The Ear Surveillance Earpiece for Motorola 2-Pin Radios (M1-S1W-EH3),66,8,0.05%,0.22%,94,9,0.06%,0.19%,98.81%,100.00%,18,15,27.27%,187.50%,$485.10,$404.25,4,2
B07HY8NK64,B07HY8NK64,Earphone Connection Quick Release Adapter EP511 for Kenwood Multi-Pin Two Way Radios,175,5,0.14%,0.14%,265,9,0.16%,0.19%,95.95%,100.00%,5,2,2.86%,40.00%,$194.75,$77.90,4,1
B07TNCS8M3,B07TNCS8M3,Maxon 2-Pin Compact Shoulder Speaker Microphone TecNet TJ-3000 TP-5000 TP-8000 TP-8000R TS-2000 and TS-3000 Two Way Radios,48,5,0.04%,0.14%,70,6,0.04%,0.12%,95.08%,100.00%,5,3,10.42%,60.00%,$225.00,$135.00,4,2
B07TPHHW7K,B07TPHHW7K,Maxon 2-Pin Acoustic Tube Earpiece TecNet TJ-3000 TP-5000 TP-8000 TP-8000R TS-2000 and TS-3000 Two Way Radios,33,1,0.03%,0.03%,65,1,0.04%,0.02%,100.00%,100.00%,11,2,33.33%,200.00%,$495.00,$90.00,4,1
B07XQJRZHK,B07XQJRZHK,Maxon TSA-3150 Li-Ion 1500 mAh Battery for Maxon TecNet TS-3116 TS-3416 and TS-3416K Two Way Radios,19,1,0.01%,0.03%,28,1,0.02%,0.02%,100.00%,100.00%,5,2,26.32%,200.00%,$210.00,$84.00,4,2
B0843MSZTF,B0843MSZTF,"Pryme LMC-1AT-21 Radio Earpiece, 1-Wire Surveillance Lapel Mic, Headset, Compatible with Kenwood ProTalk PKT-23 KHS-33 KHS-34",25,3,0.02%,0.08%,51,3,0.03%,0.06%,100.00%,100.00%,65,65,260.00%,"2,166.67%","$1,747.20","$1,747.20",4,4
B0892SL91N,B0892SL91N,Pryme LMC-1EH31 Ear Hook Earpiece Headset Microphone Compatible with Kenwood NX-P500 Two Way Radios,22,7,0.02%,0.19%,34,9,0.02%,0.19%,100.00%,100.00%,8,6,36.36%,85.71%,$200.00,$150.00,4,2
B08SQJH8KT,B08SQJH8KT,"SHEEPDOG MICROPHONES SD20-TA1 Police Remote Shoulder Speaker Microphone, Compatible with Harris Tait TP8100 TP8110 TP8115 TP9300 TP9310 TP9355 TP9400 TP9435 TP9440 and TP9600 Two Way Radios",59,4,0.05%,0.11%,81,4,0.05%,0.08%,100.00%,100.00%,12,9,20.34%,225.00%,$902.40,$676.80,4,1
B09BTR1FRF,B09BTR1FRF,"Klein Electronics Star in-Line 1-Wire Acoustic Tube Earpiece and Microphone, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",32,3,0.02%,0.08%,39,3,0.02%,0.06%,100.00%,100.00%,4,2,12.50%,66.67%,$163.80,$81.90,4,2
B09HSSYHF8,B09HSSYHF8,"Klein Electronics Star-M7 in-Line 1-Wire Acoustic Tube Earpiece and Microphone, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",27,0,0.02%,0.00%,31,0,0.02%,0.00%,100.00%,0.00%,4,0,14.81%,0.00%,$203.80,$0.00,4,0
B0BR65QL43,B0BR65QL43,SHEEPDOG MICROPHONES Heavy Duty Speaker Mic for Harris XG100P XL150P XL185 XL200P Radios,118,7,0.09%,0.19%,160,8,0.09%,0.17%,97.24%,100.00%,10,4,8.47%,57.14%,$780.00,$312.00,4,1
B0BR67ZB4L,B0BR67ZB4L,SHEEPDOG MICROPHONES Noise-Cancelling Quick Disconnect Speaker Microphone for Motorola APX6000 APX7000 APX8000,364,20,0.28%,0.55%,450,26,0.26%,0.54%,100.00%,100.00%,5,3,1.37%,15.00%,$600.00,$360.00,4,2
B0C5SC6313,B0C5SC6313,"SHEEPDOG MICROPHONES Acoustic Tube Earpiece Mic, Compatible with Motorola Vertex EVX-S24, Commercial-Grade",36,1,0.03%,0.03%,40,1,0.02%,0.02%,100.00%,100.00%,13,10,36.11%,"1,000.00%",$284.00,$212.00,4,1
B0C5ZHWCB3,B0C5ZHWCB3,"Sheepdog Swivel Earloop Earpiece Microphone, Compatible with Motorola Vertex EVX-S24, Commercial-Grade",9,4,0.01%,0.11%,17,11,0.01%,0.23%,100.00%,100.00%,15,13,166.67%,325.00%,$338.72,$290.72,4,3
B004IMHNWE,B004IMHNWE,Hawk EP1323QR Long Tube Lapel Microphone with Quick Release,70,2,0.05%,0.05%,94,3,0.06%,0.06%,95.00%,100.00%,15,15,21.43%,750.00%,"$1,260.00","$1,260.00",3,3
B0118JK0WY,B0118JK0WY,"Ear Phone Connection Easy-Connect Adapter w/Guide Arrows, Harris/MACOM Jaguar P5300, P5400, P5500, P7300, XG-15, XG-25, XG-75 (EP528EC)",126,5,0.10%,0.14%,152,6,0.09%,0.12%,99.27%,100.00%,4,2,3.17%,40.00%,$159.80,$79.90,3,1
B01BH9CDJI,B01BH9CDJI,Tactical Ear Gadgets EP1323QR Hawk Lapel Microphone for Motorola XTS5000 XTS3000 XTS2500 Radio (Black Tube),43,3,0.03%,0.08%,52,5,0.03%,0.10%,85.11%,100.00%,4,2,9.30%,66.67%,$365.78,$168.00,3,1
B01DWV91WQ,B01DWV91WQ,Tactical Ear Gadgets EP1089SC Fox 3.5mm Listen Only Earpiece with Black Acoustic Tube,59,1,0.05%,0.03%,67,3,0.04%,0.06%,96.83%,100.00%,12,1,20.34%,100.00%,$479.40,$39.95,3,1
B01G9D2X4C,B01G9D2X4C,Impact 1-Wire Earpiece Lapel Mic for Motorola 2-Pin Radios M1-G1W-AT1-HW (See List),55,11,0.04%,0.30%,65,14,0.04%,0.29%,100.00%,100.00%,6,6,10.91%,54.55%,$323.40,$323.40,3,3
B06Y5S8349,B06Y5S8349,Pryme LMC-1EH-21 Lapel Mic Earpiece for Kenwood PKT-23 ProTalkÂ® LT 2-Way Radios,69,7,0.05%,0.19%,105,10,0.06%,0.21%,89.66%,100.00%,15,15,21.74%,214.29%,$330.00,$330.00,3,3
B074KN4CPY,B074KN4CPY,Pryme BT-583APX-V2 Bluetooth Adapter Dongle for Motorola APX6000 APX7000 APX4000,458,13,0.36%,0.36%,607,14,0.36%,0.29%,97.00%,100.00%,9,0,1.97%,0.00%,"$1,080.00",$0.00,3,0
B07MBNV7J7,B07MBNV7J7,"Ear Phone Connection ""Easy-Connect Adapter w/Guide Arrows, Motorola XPR 6300, XPR6350, XPR6500, XPR6550, APX6000 (XE), APX7000 (XE) (EP534EC)",83,1,0.06%,0.03%,98,1,0.06%,0.02%,100.00%,100.00%,3,0,3.61%,0.00%,$119.82,$0.00,3,0
B07RRTDQ1X,B07RRTDQ1X,Earphone Connection Black Diamond Series EP1089SC-B Fox 3.5mm Listen Only Earpiece with Acoustic Tube,208,7,0.16%,0.19%,272,7,0.16%,0.15%,99.14%,100.00%,3,0,1.44%,0.00%,$169.44,$0.00,3,0
B07XLF2HXC,B07XLF2HXC,Maxon TA-80BC Spring Loaded Belt Clip for TP-5116 TP-5416 TP-8102 TP-8402 TP-8102R and TP-8402R Two Way Radios,61,2,0.05%,0.05%,77,2,0.05%,0.04%,97.22%,100.00%,5,0,8.20%,0.00%,$35.00,$0.00,3,0
B07YSX2NFB,B07YSX2NFB,"Radio Battery, Power Products Logic Energy, Compatible with Motorola XPR6100 XPR6300 XPR6350 XPR6380 XPR6500 XPR6550 XPR6580 and Vertex VXD720, Intrinsically Safe Smart Battery PMNN4069A",7,4,0.01%,0.11%,8,4,0.00%,0.08%,100.00%,100.00%,14,13,200.00%,325.00%,"$1,686.72","$1,566.24",3,2
B081QWVVQK,B081QWVVQK,"Mounting Bracket for Endura EC6M and EC12M Chargers, Also Fits EC6M-V2 and TWC12M Chargers",11,4,0.01%,0.11%,15,5,0.01%,0.10%,100.00%,100.00%,5,2,45.45%,50.00%,$513.90,$205.56,3,1
B083XDL3NT,B083XDL3NT,"Two Way Radio Speaker Microphone, Hytera SM26N1 and SM26N2 Replacement by Endura, ESM-20-HY5, Shoulder Mic, Fits Hytera PD602 PD662 PD682 X1e X1p Z1p and Harris HDP250",29,3,0.02%,0.08%,42,3,0.02%,0.06%,91.89%,100.00%,21,0,72.41%,0.00%,"$1,391.88",$0.00,3,0
B086T4Z2JP,B086T4Z2JP,Klein Electronics Comfit-M9 Single-Wire Noise Canceling Boom Microphone with Flat PTT | Compatible with Motorola Radio Models Only (Works with M9 Connector pin),22,2,0.02%,0.05%,34,4,0.02%,0.08%,100.00%,100.00%,8,0,36.36%,0.00%,$687.68,$0.00,3,0
B0887NKTHS,B0887NKTHS,"Radio Earpiece, 3.5mm Fox Threaded Listen Only EP1013XC by Earphone Connection, Coiled Acoustic Tube Privacy Headset, Compatible with Shoulder Speaker Microphones, Includes Exclusive Accessory Pack",34,2,0.03%,0.05%,45,4,0.03%,0.08%,100.00%,100.00%,3,0,8.82%,0.00%,$137.55,$0.00,3,0
B0887VBZ1M,B0887VBZ1M,"Radio Earpiece, 3.5mm Fox Listen Only EP1089SCST by Earphone Connection, Short Acoustic Tube Privacy Headset, Compatible with Shoulder Speaker Microphones, Includes Exclusive Accessory Pack",114,2,0.09%,0.05%,149,3,0.09%,0.06%,96.99%,100.00%,3,0,2.63%,0.00%,$137.85,$0.00,3,0
B08JYBH42H,B08JYBH42H,"SHEEPDOG MICROPHONES 3.5mm Threaded Listen Only Earpiece, Straight Cord, Compatible with Motorola Audio Adapters and Shoulder Speaker Microphones",97,3,0.08%,0.08%,112,3,0.07%,0.06%,99.06%,100.00%,3,0,3.09%,0.00%,$132.00,$0.00,3,0
B0BR66ZGX5,B0BR66ZGX5,SHEEPDOG MICROPHONES Noise-Cancelling QD Mic for Harris XG100P XL150P XL185 XL200P Radios,124,5,0.10%,0.14%,163,5,0.10%,0.10%,100.00%,100.00%,3,1,2.42%,20.00%,$360.00,$120.00,3,1
B0C5S8BVB8,B0C5S8BVB8,"SHEEPDOG MICROPHONES Acoustic Tube Earpiece Mic, Compatible with Hytera PD362i BD302i PNC730, Commercial-Grade",19,2,0.01%,0.05%,52,3,0.03%,0.06%,100.00%,100.00%,12,10,63.16%,500.00%,$281.70,$229.70,3,1
B0C5Z2TL86,B0C5Z2TL86,"Sheepdog D-Ring Earpiece Microphone, Compatible with Motorola Vertex EVX-S24, Commercial-Grade",13,2,0.01%,0.05%,19,3,0.01%,0.06%,100.00%,100.00%,4,1,30.77%,50.00%,$95.00,$23.00,3,1
B0C5Z5TVX7,B0C5Z5TVX7,"SHEEPDOG MICROPHONES Earhook Earpiece Microphone, Compatible with Kenwood NX-P500 ProTalk, Commercial-Grade",17,2,0.01%,0.05%,25,5,0.01%,0.10%,92.00%,100.00%,16,11,94.12%,550.00%,$365.41,$245.41,3,2
B0C5ZHYKYP,B0C5ZHYKYP,"SHEEPDOG MICROPHONES Swivel Earloop Earpiece Microphone, Compatible with Hytera HYT TC320, Commercial-Grade",16,1,0.01%,0.03%,21,2,0.01%,0.04%,90.00%,100.00%,5,0,31.25%,0.00%,$120.00,$0.00,3,0
B0C66VYCQB,B0C66VYCQB,"SHEEPDOG MICROPHONES 2-Wire Surveillance Earpiece Microphone, Security Headset, Compatible with Motorola Vertex EVX-S24",26,6,0.02%,0.16%,38,11,0.02%,0.23%,100.00%,100.00%,3,0,11.54%,0.00%,$174.00,$0.00,3,0
B0C95CKF8M,B0C95CKF8M,"Klein TEAM6 Rapid Multi-Unit Charger (MUC), 6-Slots, Compatible with Motorola MOTOTRBO R7 XPR3500E XPR3500E XPR7350E XPR7380E XPR7550E XPR7580E Radios, Includes Wall and Vehicle Charger Cords",36,10,0.03%,0.27%,44,13,0.03%,0.27%,97.62%,100.00%,4,3,11.11%,30.00%,"$1,257.83",$917.88,3,2
B0CQRZZVQD,B0CQRZZVQD,"SHEEPDOG MICROPHONES Earhook Earpiece Microphone, Compatible with Motorola R7 and ION",102,8,0.08%,0.22%,138,10,0.08%,0.21%,100.00%,100.00%,7,1,6.86%,12.50%,$577.94,$62.00,3,1
B0CSF8412H,B0CSF3QPB4,"AWARE Micro Speaker, Covert Listen Only Earpiece, Black (3.5mm Connector, 22"" Cable)",13,0,0.01%,0.00%,22,0,0.01%,0.00%,85.71%,0.00%,3,0,23.08%,0.00%,$270.00,$0.00,3,0
B0CSF8412H,B0CSF3WCK2,"AWARE Micro Speaker, Covert Listen Only Earpiece, Black (2.5mm Connector, 22"" Cable)",18,1,0.01%,0.03%,23,1,0.01%,0.02%,100.00%,100.00%,3,0,16.67%,0.00%,$180.00,$0.00,3,0
B004IMDSV4,B004IMDSV4,"EARPHONE CONNECTION Rabbit Listen Only Earpiece, Large Speaker - 9 inch Cable - Large Speaker - 3.5mm Right Angle Plug",23,8,0.02%,0.22%,30,13,0.02%,0.27%,53.85%,100.00%,2,0,8.70%,0.00%,$20.00,$0.00,2,0
B004IMHN1A,B004IMHN1A,Fox Listen Only Short Tube Earpiece - 6 inch Coil Cable - 2.5mm Right Angle Plug,68,5,0.05%,0.14%,82,5,0.05%,0.10%,64.94%,66.67%,2,0,2.94%,0.00%,$70.32,$0.00,2,0
B00AQJG1US,B00AQJG1US,Tactical Ear Gadgets Quick Release Adapter EP511 Compatible with Kenwood Multi-Pin Radios,679,10,0.53%,0.27%,778,11,0.46%,0.23%,98.71%,100.00%,4,3,0.59%,30.00%,$159.72,$119.79,2,1
B00AR077O0,B00AR077O0,Pryme PA-501 Quick Disconnect Adapter for Kenwood 2-Pin NX1200 NX1300 NC3220 NX3320 NX3420 NX-P1300 NX-P1302 Series,35,2,0.03%,0.05%,50,2,0.03%,0.04%,100.00%,100.00%,4,0,11.43%,0.00%,$140.00,$0.00,2,0
B00QR3LZ2Q,B00QR3LZ2Q,Pryme PA-523 Quick Disconnect Adapter for Motorola XTS1500 XTS2000 XTS2250X TS2500 XTS3000 XTS3500 XTS4250 XTS5000,47,6,0.04%,0.16%,66,13,0.04%,0.27%,98.15%,100.00%,6,5,12.77%,83.33%,$372.00,$310.00,2,1
B00RM1861A,B00RM1861A,Pryme BT-583-V2 Bluetooth M7 adapter for Motorola Trbo XPR series models XPR6100 XPR6300 XPR6350 XPR6500 XPR6550 XPR6580,169,10,0.13%,0.27%,210,11,0.12%,0.23%,98.40%,100.00%,2,2,1.18%,20.00%,$240.00,$240.00,2,2
B011D40LYG,B011D40LYG,Tactical Ear Gadgets EP1328QR Hawk Lapel Mic with Quick Release for Harris Unity XG25 XG75 P5300 P7300,54,4,0.04%,0.11%,61,4,0.04%,0.08%,100.00%,100.00%,2,1,3.70%,25.00%,$182.89,$84.00,2,1
B012BSI0MS,B012BSI0MS,PRYMEÂ® 1-Wire Swivel Earhook Earpiece for ICOM IP100H Radio,5,1,0.00%,0.03%,7,1,0.00%,0.02%,100.00%,100.00%,9,9,180.00%,900.00%,$242.10,$242.10,2,2
B07PP4CT42,B012J1CLVS,Motorola HKLN4604 HKLN4604A HKLN4604B Original Swivel Earpiece with Microphone and PTT - Replaces RLN6423,272,31,0.21%,0.85%,388,56,0.23%,1.16%,1.42%,0.00%,2,0,0.74%,0.00%,$56.00,$0.00,2,0
B018V1ZOZK,B018V1ZOZK,Impact Flexible Earhook Earpiece for Vertex VX and EVX Radio,7,1,0.01%,0.03%,14,2,0.01%,0.04%,78.57%,100.00%,11,10,157.14%,"1,000.00%",$288.20,$262.00,2,1
B01BIDEFJO,B01BIDEFJO,Impact 1-Wire Over The Ear Surveillance Earpiece for Motorola Wave TLK 100 SL7550 SL7580 SL7590 SL300 SL500 (M15-S1W-EH3),54,6,0.04%,0.16%,57,6,0.03%,0.12%,100.00%,100.00%,5,4,9.26%,66.67%,$129.75,$103.80,2,1
B06ZY5WJFX,B06ZY5WJFX,Clear Tube Earpiece for Snaplock 1-Wire 2-Wire 3-Wire Connector 2-Way Radios,28,2,0.02%,0.05%,50,3,0.03%,0.06%,95.45%,100.00%,2,0,7.14%,0.00%,$44.00,$0.00,2,0
B071XYDR21,B071XYDR21,Earpieces 2-Wire Acoustic Tube Clip-On PTT/Mic for HYT TC-320 2-Way Radios,5,1,0.00%,0.03%,12,2,0.01%,0.04%,100.00%,100.00%,2,0,40.00%,0.00%,$129.98,$0.00,2,0
B074JJNKSV,B074JJNKSV,PRYMEâ¢ Pro-Grade Earhook Earpiece for HYT TC320 Compact Radio w/Locking Screw,4,1,0.00%,0.03%,10,4,0.01%,0.08%,100.00%,100.00%,11,11,275.00%,"1,100.00%",$286.00,$286.00,2,2
B074N8XS63,B074N8XS63,Pryme Kenwood NX200 NX300 Audio Adapter for 2-Pin Radio Earpiece PA-TK0111,232,4,0.18%,0.11%,305,6,0.18%,0.12%,97.34%,100.00%,2,0,0.86%,0.00%,$79.90,$0.00,2,0
B074N9VKDJ,B074N9VKDJ,PRYMEÂ® Observer SPM-100 Speaker Mic for Cobra ICOM Midland Vertex 2-Pin Top Connector,7,2,0.01%,0.05%,14,3,0.01%,0.06%,100.00%,100.00%,3,0,42.86%,0.00%,$90.46,$0.00,2,0
B074Q43KDF,B074Q43KDF,Pryme Mirage SPM-1300-H8 Earpiece Mic for HYT X1e X1p Z1p PD602/G 662/G 682/G,10,0,0.01%,0.00%,15,0,0.01%,0.00%,85.71%,0.00%,2,0,20.00%,0.00%,$123.92,$0.00,2,0
B074VGB56J,B074VGB56J,Pryme Mirage SPM-1303 Earpiece Microphone for Motorola 2-Pin Two-Way Radios,17,3,0.01%,0.08%,21,3,0.01%,0.06%,95.00%,100.00%,11,10,64.71%,333.33%,$483.67,$439.70,2,1
B0757YVXN4,B0757YVXN4,PRYMEÂ® Trooper SPM-2137 Shoulder Mic for Harris Unity XG-15 XG-25 XG-75 P5300 P5400 P5500 and P7300 Two Way Radios,33,1,0.03%,0.03%,37,1,0.02%,0.02%,100.00%,0.00%,2,0,6.06%,0.00%,$143.48,$0.00,2,0
B079TCY23H,B079TCY23H,Impact M1-P1W-AT1 Platinum Series 1-Wire Surveillance Kit for Motorola 2-Pin CLS1110 1410 CP200D HYT TC-508 Bearcom BC130 BC95 BC250D Walkie Talkie Radios (See Description for Two Way Compatibility),34,2,0.03%,0.05%,43,2,0.03%,0.04%,91.89%,100.00%,2,0,5.88%,0.00%,$165.02,$0.00,2,0
B07FKVPVF4,B07FKVPVF4,"Impact 18"" 3.5mm Earpiece Only Headset for Shoulder Speaker Remote Microphone",21,7,0.02%,0.19%,25,8,0.01%,0.17%,91.30%,100.00%,18,18,85.71%,257.14%,$752.40,$752.40,2,2
B07J462H3B,B07J462H3B,Pryme LMC-1GH42 Lapel Earpiece and Mic for Vertex Standard EVX-S24 Two Way Radios,11,2,0.01%,0.05%,16,3,0.01%,0.06%,92.31%,100.00%,10,10,90.91%,500.00%,$250.00,$250.00,2,2
B07PPPTZC1,B07PPPTZC1,Endura ESK-1WATD-IC9 1-Wire Surveillance Earpiece for Icom IC-F52D IC-F3262 IC-F4262 IC-F4360 and IC-F9011 Two Way Radios,9,2,0.01%,0.05%,9,2,0.01%,0.04%,100.00%,100.00%,5,5,55.56%,250.00%,$369.00,$369.00,2,2
B07TM9BBCK,B07TM9BBCK,2-Pin Heavy Duty Shoulder Speaker Microphone with High/Low Volume Control for Maxon TecNet TJ-3000 TP-5000 TP-8000 TP-8000R TS-2000 and TS-3000 Two Way Radios,13,2,0.01%,0.05%,15,2,0.01%,0.04%,100.00%,100.00%,10,10,76.92%,500.00%,$620.00,$620.00,2,2
B07W6K5H3N,B07W6K5H3N,"Radio Earpiece for Kenwood Multipin, EP1311QR Quick Release Hawk Lapel Mic, Police Surveillance Headset, Includes Exclusive Accessory Pack",94,2,0.07%,0.05%,127,2,0.07%,0.04%,95.65%,100.00%,2,0,2.13%,0.00%,$199.78,$0.00,2,0
B07XR5HMW3,B07XR5HMW3,Maxon TA-800LA Single Slot Rapid Desktop Charger with Extra Battery Slot for Maxon TecNet TP-5116 TP-5416 TP-8102 TP-8402 TP-8102R and TP-8402R Two Way Radios,21,2,0.02%,0.05%,27,2,0.02%,0.04%,100.00%,100.00%,3,2,14.29%,100.00%,$165.00,$110.00,2,1
B07XSF3JZD,B07XSF3JZD,Maxon TSA-0300 Single Unit Desktop Charger for TS-3116 TS-3416 and TS-3416K Two Way Radios,12,1,0.01%,0.03%,16,1,0.01%,0.02%,100.00%,100.00%,2,1,16.67%,100.00%,$50.00,$25.00,2,1
B07YSYJH79,B07YSYJH79,"Two Way Radio Battery, Kenwood KNB-LS5 Replacement by Power Products Logic Energy, NX-5200 NX-5300 NX-5400 TK-5430 VP5430 VP6330 and VP6430, Intrinsically Safe",5,3,0.00%,0.08%,8,4,0.00%,0.08%,83.33%,66.67%,19,19,380.00%,633.33%,"$3,115.24","$3,115.24",2,2
B07YT193J8,B07YT193J8,"Two Way Radio Battery, Harris BT-023406-006 Replacement by Power Products Logic Energy, XG-15P XG-25P XG-75P P5300 P5400 P5500 and P7300, Intrinsically Safe",18,4,0.01%,0.11%,27,9,0.02%,0.19%,100.00%,100.00%,3,3,16.67%,75.00%,$401.40,$401.40,2,2
B07ZDKBYHM,B07ZDKBYHM,"Two Way Radio Battery, LAA0170 Replacement by Power Products, RELM Bendix King BK DPH GPH EPH LPA LPH and LPX",25,1,0.02%,0.03%,40,1,0.02%,0.02%,100.00%,100.00%,2,0,8.00%,0.00%,$176.94,$0.00,2,0
B07ZPJGJX8,B07ZPJGJX8,"Two Way Radio Battery, Power Products, Compatible with Motorola Minitor 5 Minitor V RLN5707",13,0,0.01%,0.00%,23,0,0.01%,0.00%,90.48%,0.00%,2,0,15.38%,0.00%,$48.18,$0.00,2,0
B07ZTYCF2G,B07ZTYCF2G,"Two Way Radio Battery, Power Products, Compatible with Motorola Radius P10 SP50+ (Low Power) SP10 SP50 HT10 HNN9044AR",8,0,0.01%,0.00%,9,0,0.01%,0.00%,66.67%,0.00%,5,0,62.50%,0.00%,$111.02,$0.00,2,0
B082VNP5XM,B082VNP5XM,"Earphone Connection Two Way Radio Earpiece, Listen Only Headset, Fox EP1089SC, Plugs Into Speaker/Shoulder Microphones with 3.5mm Receive Only Audio Jack",26,5,0.02%,0.14%,33,7,0.02%,0.15%,96.67%,100.00%,11,11,42.31%,220.00%,$440.00,$440.00,2,2
